fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,flight_speed,lat,long,condition
2019-07-13,UA,UA_CODESHARE,UA,6224,YV,N85320,6224,12266,IAH,"Houston, TX",11267,DAY,"Dayton, OH",1830,1846.0,16.0,25.0,1911.0,2215.0,10.0,2203,2225.0,22.0,0,,0,N,153,159.0,124.0,1,929,0.0,22.0,0.0,0.0,0.0,,,,,7.491935483870968,29.9841416,-95.332986,"Rain, Partially cloudy"
2018-10-05,WN,WN,WN,1536,WN,N570WN,1536,12896,LBB,"Lubbock, TX",11259,DAL,"Dallas, TX",1945,2109.0,84.0,13.0,2122.0,2229.0,5.0,2050,2234.0,104.0,0,,0,N,65,85.0,67.0,1,293,0.0,17.0,20.0,0.0,67.0,,,,,4.373134328358209,33.6652574,-101.8266887,"Rain, Partially cloudy"
2018-08-29,WN,WN,WN,2430,WN,N8609A,2430,15016,STL,"St. Louis, MO",10721,BOS,"Boston, MA",1600,1629.0,29.0,10.0,1639.0,1945.0,16.0,1940,2001.0,21.0,0,,0,N,160,152.0,126.0,1,1047,0.0,10.0,0.0,0.0,11.0,,,,,8.30952380952381,38.7496273,-90.3704702,"Rain, Partially cloudy"
2018-06-22,B6,B6,B6,1272,B6,N565JB,1272,11697,FLL,"Fort Lauderdale, FL",12953,LGA,"New York, NY",1554,1910.0,196.0,35.0,1945.0,2156.0,6.0,1859,2202.0,183.0,0,,0,N,185,172.0,131.0,1,1076,0.0,145.0,0.0,0.0,38.0,,,,,8.213740458015268,26.072017,-80.1509967,"Rain, Partially cloudy"
2018-07-12,UA,UA_CODESHARE,UA,6187,YV,N89349,6187,12266,IAH,"Houston, TX",14193,PNS,"Pensacola, FL",2135,7.0,152.0,9.0,16.0,123.0,5.0,2313,128.0,135.0,0,,0,N,98,81.0,67.0,1,489,0.0,135.0,0.0,0.0,0.0,,,,,7.298507462686567,29.9841416,-95.332986,"Rain, Partially cloudy"
2018-05-14,WN,WN,WN,3165,WN,N709SW,3165,13232,MDW,"Chicago, IL",15016,STL,"St. Louis, MO",700,734.0,34.0,13.0,747.0,828.0,4.0,805,832.0,27.0,0,,0,N,65,58.0,41.0,1,251,0.0,27.0,0.0,0.0,0.0,,,,,6.121951219512195,40.2333371,-93.9335617,"Rain, Partially cloudy"
2018-07-22,UA,UA_CODESHARE,UA,6123,YV,N82314,6123,11109,COS,"Colorado Springs, CO",12266,IAH,"Houston, TX",1700,1738.0,38.0,11.0,1749.0,2043.0,3.0,2018,2046.0,28.0,0,,0,N,138,128.0,114.0,1,809,0.0,28.0,0.0,0.0,0.0,,,,,7.096491228070176,36.7954557,27.0884901,Clear
2019-04-28,UA,UA_CODESHARE,UA,4621,AX,N16151,4621,11292,DEN,"Denver, CO",11921,GJT,"Grand Junction, CO",1605,1623.0,18.0,22.0,1645.0,1725.0,5.0,1709,1730.0,21.0,0,,0,N,64,67.0,40.0,1,212,0.0,18.0,3.0,0.0,0.0,,,,,5.3,12.1341164,-68.2761506,Partially cloudy
2019-08-13,AA,AA_CODESHARE,AA,3815,MQ,N835AE,3815,14122,PIT,"Pittsburgh, PA",12953,LGA,"New York, NY",1710,1714.0,4.0,41.0,1755.0,1854.0,15.0,1845,1909.0,24.0,0,,0,N,95,115.0,59.0,1,335,0.0,4.0,20.0,0.0,0.0,,,,,5.677966101694915,66.8861127,-157.1567626,Overcast
2018-02-09,UA,UA_CODESHARE,UA,4647,AX,N41104,4647,10279,AMA,"Amarillo, TX",11292,DEN,"Denver, CO",825,849.0,24.0,26.0,915.0,915.0,6.0,855,921.0,26.0,0,,0,N,90,92.0,60.0,1,359,0.0,24.0,2.0,0.0,0.0,,,,,5.983333333333333,-4.1015945,141.6703234,"Rain, Partially cloudy"
2018-06-26,UA,UA,UA,599,UA,N491UA,599,13930,ORD,"Chicago, IL",12889,LAS,"Las Vegas, NV",2044,2316.0,152.0,22.0,2338.0,43.0,7.0,2243,50.0,127.0,0,,0,N,239,214.0,185.0,1,1514,0.0,11.0,0.0,0.0,116.0,,,,,8.183783783783785,-17.7868996,127.6699982,Clear
2018-12-28,AA,AA_CODESHARE,AA,4529,YX,N112HQ,4529,11057,CLT,"Charlotte, NC",12124,HHH,"Hilton Head, SC",755,957.0,122.0,28.0,1025.0,1107.0,8.0,911,1115.0,124.0,0,,0,N,76,78.0,42.0,1,207,0.0,75.0,2.0,0.0,47.0,,,,,4.928571428571429,35.2107415,-80.9457435,"Rain, Overcast"
2018-07-27,F9,F9,F9,1675,F9,N705FR,1675,14100,PHL,"Philadelphia, PA",13204,MCO,"Orlando, FL",2014,2106.0,52.0,13.0,2119.0,2323.0,14.0,2303,2337.0,34.0,0,,0,N,169,151.0,124.0,1,861,0.0,29.0,0.0,0.0,5.0,,,,,6.943548387096774,13.6818766,100.7485803,"Rain, Partially cloudy"
2019-10-09,DL,DL_CODESHARE,DL,4127,OO,N439SW,4127,14869,SLC,"Salt Lake City, UT",12280,IDA,"Idaho Falls, ID",1350,1421.0,31.0,12.0,1433.0,1506.0,2.0,1453,1508.0,15.0,0,,0,N,63,47.0,33.0,1,188,0.0,4.0,0.0,0.0,11.0,,,,,5.696969696969697,40.7900661,-111.9798985,Partially cloudy
2018-09-18,DL,DL_CODESHARE,DL,3611,OO,N264SY,3611,11995,GSO,"Greensboro/High Point, NC",12953,LGA,"New York, NY",1305,1552.0,167.0,20.0,1612.0,1722.0,4.0,1450,1726.0,156.0,0,,0,N,105,94.0,70.0,1,461,0.0,156.0,0.0,0.0,0.0,,,,,6.585714285714285,36.1031477,-79.9435685,Partially cloudy
2018-05-20,AA,AA_CODESHARE,AA,5724,YV,N932LR,5724,11298,DFW,"Dallas/Fort Worth, TX",11778,FSM,"Fort Smith, AR",1250,1353.0,63.0,32.0,1425.0,1513.0,4.0,1356,1517.0,81.0,0,,0,N,66,84.0,48.0,1,227,0.0,6.0,18.0,0.0,57.0,,,,,4.729166666666667,32.8965194,-97.0465221,"Rain, Overcast"
2019-07-19,AA,AA,AA,2603,AA,N108UW,2603,14635,RSW,"Fort Myers, FL",14100,PHL,"Philadelphia, PA",1415,1757.0,222.0,12.0,1809.0,2037.0,4.0,1708,2041.0,213.0,0,,0,N,173,164.0,148.0,1,993,128.0,85.0,0.0,0.0,0.0,,,,,6.70945945945946,26.5329498,-81.7588056,Rain
